YYYY-MM-DD,RISE,TRAN.,SET
2020-08-13,00:25,07:09,13:56
2020-08-14,01:08,07:58,14:51
2020-08-15,01:55,08:51,15:47
2020-08-16,02:49,09:46,16:44
2020-08-17,03:47,10:44,17:38
2020-08-18,04:49,11:41,18:29
2020-08-19,05:53,12:37,19:17
2020-08-20,06:57,13:32,20:01
2020-08-21,08:01,14:25,20:43
2020-08-22,09:03,15:16,21:24
2020-08-23,10:05,16:08,22:06
2020-08-24,11:07,17:00,22:48
2020-08-25,12:09,17:53,23:34
2020-08-26,13:11,18:48,
2020-08-27,14:13,19:44,00:22
2020-08-28,15:11,20:41,01:15
2020-08-29,16:06,21:36,02:10
2020-08-30,16:57,22:29,03:07
2020-08-31,17:42,23:19,04:04
2020-09-01,18:22,,05:00
2020-09-02,18:59,00:06,05:54
2020-09-03,19:34,00:51,06:46
2020-09-04,20:06,01:33,07:36
2020-09-05,20:39,02:14,08:25
2020-09-06,21:11,02:54,09:15
2020-09-07,21:45,03:35,10:04
2020-09-08,22:22,04:18,10:55
2020-09-09,23:02,05:02,11:47
2020-09-10,23:46,05:49,12:40
2020-09-11,,06:40,13:35
2020-09-12,00:36,07:33,14:30
2020-09-13,01:31,08:28,15:24
2020-09-14,02:30,09:25,16:16
2020-09-15,03:33,10:21,17:05
2020-09-16,04:37,11:17,17:51
2020-09-17,05:41,12:11,18:35
2020-09-18,06:46,13:04,19:17
2020-09-19,07:50,13:57,19:59
2020-09-20,08:54,14:51,20:43
2020-09-21,09:58,15:46,21:29
2020-09-22,11:03,16:42,22:18
2020-09-23,12:06,17:39,23:10
2020-09-24,13:07,18:36,
2020-09-25,14:04,19:32,00:05
2020-09-26,14:55,20:26,01:02
2020-09-27,15:41,21:17,01:59
2020-09-28,16:23,22:04,02:55
2020-09-29,17:00,22:49,03:49
2020-09-30,17:35,23:31,04:41
2020-10-01,18:08,,05:32
2020-10-02,18:40,00:12,06:21
2020-10-03,19:12,00:53,07:10
2020-10-04,19:45,01:33,07:59
2020-10-05,20:20,02:15,08:50
2020-10-06,20:59,02:59,09:41
2020-10-07,21:41,03:45,10:34
2020-10-08,22:28,04:33,11:27
2020-10-09,23:20,05:24,12:22
2020-10-10,,06:17,13:15
2020-10-11,00:16,07:12,14:06
2020-10-12,01:15,08:07,14:55
2020-10-13,02:17,09:01,15:41
2020-10-14,03:20,09:55,16:24
2020-10-15,04:23,10:48,17:07
2020-10-16,05:27,11:41,17:49
2020-10-17,06:32,12:35,18:32
2020-10-18,07:38,13:30,19:18
2020-10-19,08:45,14:28,20:07
2020-10-20,09:52,15:27,21:00
2020-10-21,10:56,16:27,21:56
2020-10-22,11:57,17:25,22:54
2020-10-23,12:52,18:21,23:53
2020-10-24,13:40,19:14,
2020-10-25,14:23,20:02,00:50
2020-10-26,15:02,20:48,01:45
2020-10-27,15:37,21:31,02:37
2020-10-28,16:10,22:12,03:28
2020-10-29,16:42,22:52,04:18
2020-10-30,17:14,23:32,05:07
2020-10-31,17:46,,05:56
2020-11-01,18:21,00:14,06:46
2020-11-02,18:58,00:57,07:37
2020-11-03,19:39,01:42,08:29
2020-11-04,20:25,02:30,09:23
2020-11-05,21:14,03:20,10:17
2020-11-06,22:08,04:12,11:10
2020-11-07,23:05,05:05,12:01
2020-11-08,,05:59,12:49
2020-11-09,00:04,06:51,13:35
2020-11-10,01:04,07:43,14:17
2020-11-11,02:05,08:34,14:58
2020-11-12,03:07,09:26,15:39
2020-11-13,04:09,10:18,16:20
2020-11-14,05:14,11:12,17:04
2020-11-15,06:21,12:08,17:51
2020-11-16,07:28,13:07,18:43
2020-11-17,08:36,14:09,19:39
2020-11-18,09:41,15:10,20:39
2020-11-19,10:41,16:10,21:40
2020-11-20,11:34,17:06,22:40
2020-11-21,12:21,17:57,23:37
2020-11-22,13:02,18:45,
2020-11-23,13:38,19:29,00:32
2020-11-24,14:12,20:11,01:24
2020-11-25,14:44,20:51,02:13
2020-11-26,15:16,21:31,03:02
2020-11-27,15:48,22:12,03:51
2020-11-28,16:21,22:54,04:41
2020-11-29,16:58,23:39,05:32
2020-11-30,17:38,,06:24
2020-12-01,18:22,00:26,07:18
2020-12-02,19:11,01:16,08:13
2020-12-03,20:04,02:08,09:07
2020-12-04,21:00,03:02,09:59
2020-12-05,21:58,03:55,10:48
2020-12-06,22:57,04:47,11:33
2020-12-07,23:56,05:39,12:16
2020-12-08,,06:28,12:56
2020-12-09,00:55,07:17,13:35
2020-12-10,01:54,08:07,14:14
2020-12-11,02:56,08:58,14:55
2020-12-12,03:59,09:51,15:39
2020-12-13,05:04,10:48,16:27
2020-12-14,06:12,11:47,17:20
2020-12-15,07:19,12:49,18:19
2020-12-16,08:22,13:51,19:20
2020-12-17,09:20,14:51,20:23
2020-12-18,10:12,15:46,21:23
2020-12-19,10:56,16:37,22:21
2020-12-20,11:36,17:23,23:15
2020-12-21,12:11,18:07,
2020-12-22,12:44,18:48,00:07
2020-12-23,13:16,19:29,00:56
2020-12-24,13:48,20:09,01:45
2020-12-25,14:21,20:51,02:35
2020-12-26,14:56,21:34,03:25
2020-12-27,15:35,22:21,04:16
2020-12-28,16:17,23:10,05:10
2020-12-29,17:05,,06:05
2020-12-30,17:57,00:02,07:00
2020-12-31,18:53,00:56,07:54
