YYYY-MM-DD,RISE,TRAN.,SET
2020-01-01,11:21,17:15,23:13
2020-01-02,11:55,17:56,
2020-01-03,12:27,18:37,00:02
2020-01-04,13:01,19:19,00:51
2020-01-05,13:35,20:01,01:41
2020-01-06,14:12,20:47,02:32
2020-01-07,14:53,21:36,03:26
2020-01-08,15:39,22:29,04:23
2020-01-09,16:31,23:25,05:21
2020-01-10,17:28,,06:21
2020-01-11,18:30,00:24,07:20
2020-01-12,19:34,01:24,08:16
2020-01-13,20:39,02:23,09:07
2020-01-14,21:42,03:19,09:55
2020-01-15,22:44,04:13,10:38
2020-01-16,23:44,05:04,11:20
2020-01-17,,05:54,12:00
2020-01-18,00:43,06:44,12:40
2020-01-19,01:43,07:34,13:22
2020-01-20,02:42,08:26,14:07
2020-01-21,03:42,09:19,14:54
2020-01-22,04:40,10:13,15:45
2020-01-23,05:37,11:08,16:38
2020-01-24,06:30,12:01,17:33
2020-01-25,07:18,12:52,18:28
2020-01-26,08:02,13:41,19:22
2020-01-27,08:42,14:27,20:15
2020-01-28,09:19,15:10,21:05
2020-01-29,09:53,15:52,21:55
2020-01-30,10:26,16:33,22:43
2020-01-31,10:59,17:14,23:32
2020-02-01,11:32,17:55,
2020-02-02,12:07,18:39,00:22
2020-02-03,12:45,19:25,01:14
2020-02-04,13:28,20:15,02:08
2020-02-05,14:16,21:08,03:05
2020-02-06,15:10,22:06,04:03
2020-02-07,16:09,23:05,05:02
2020-02-08,17:13,,06:00
2020-02-09,18:19,00:05,06:54
2020-02-10,19:25,01:04,07:45
2020-02-11,20:30,02:01,08:31
2020-02-12,21:33,02:55,09:15
2020-02-13,22:35,03:48,09:57
2020-02-14,23:36,04:39,10:39
2020-02-15,,05:31,11:21
2020-02-16,00:37,06:23,12:05
2020-02-17,01:37,07:16,12:52
2020-02-18,02:35,08:09,13:41
2020-02-19,03:32,09:03,14:34
2020-02-20,04:25,09:56,15:27
2020-02-21,05:15,10:47,16:22
2020-02-22,06:00,11:37,17:16
2020-02-23,06:41,12:23,18:08
2020-02-24,07:18,13:07,18:59
2020-02-25,07:53,13:49,19:49
2020-02-26,08:26,14:30,20:38
2020-02-27,08:59,15:11,21:27
2020-02-28,09:32,15:52,22:16
2020-02-29,10:06,16:34,23:06
2020-03-01,10:42,17:18,23:59
2020-03-02,11:22,18:05,
2020-03-03,12:06,18:56,00:53
2020-03-04,12:55,19:50,01:49
2020-03-05,13:51,20:47,02:46
2020-03-06,14:51,21:46,03:43
2020-03-07,15:56,22:45,04:38
2020-03-08,17:02,23:43,05:30
2020-03-09,18:08,,06:18
2020-03-10,19:13,00:39,07:04
2020-03-11,20:18,01:33,07:48
2020-03-12,21:22,02:27,08:31
2020-03-13,22:25,03:21,09:15
2020-03-14,23:28,04:14,10:00
2020-03-15,,05:09,10:47
2020-03-16,00:29,06:04,11:37
2020-03-17,01:28,06:59,12:29
2020-03-18,02:23,07:53,13:23
2020-03-19,03:13,08:45,14:18
2020-03-20,03:59,09:34,15:11
2020-03-21,04:41,10:21,16:04
2020-03-22,05:19,11:06,16:55
2020-03-23,05:54,11:48,17:45
2020-03-24,06:28,12:29,18:34
2020-03-25,07:00,13:10,19:23
2020-03-26,07:33,13:50,20:12
2020-03-27,08:06,14:32,21:02
2020-03-28,08:41,15:16,21:54
2020-03-29,09:20,16:01,22:47
2020-03-30,10:02,16:50,23:41
2020-03-31,10:48,17:42,
2020-04-01,11:40,18:36,00:37
2020-04-02,12:37,19:32,01:32
2020-04-03,13:37,20:29,02:26
2020-04-04,14:40,21:26,03:18
2020-04-05,15:45,22:21,04:06
2020-04-06,16:50,23:16,04:52
2020-04-07,17:55,,05:36
2020-04-08,19:00,00:10,06:19
2020-04-09,20:05,01:04,07:03
2020-04-10,21:10,01:59,07:48
2020-04-11,22:15,02:55,08:36
2020-04-12,23:17,03:52,09:27
2020-04-13,,04:49,10:20
2020-04-14,00:16,05:46,11:16
2020-04-15,01:09,06:40,12:11
2020-04-16,01:58,07:31,13:06
2020-04-17,02:41,08:19,14:00
2020-04-18,03:20,09:04,14:52
2020-04-19,03:56,09:47,15:42
2020-04-20,04:30,10:29,16:31
2020-04-21,05:03,11:09,17:20
2020-04-22,05:35,11:50,18:09
2020-04-23,06:08,12:31,18:59
2020-04-24,06:42,13:14,19:50
2020-04-25,07:19,13:59,20:43
2020-04-26,08:00,14:47,21:37
2020-04-27,08:45,15:38,22:33
2020-04-28,09:35,16:31,23:28
2020-04-29,10:29,17:26,
2020-04-30,11:27,18:21,00:21
2020-05-01,12:28,19:16,01:12
2020-05-02,13:30,20:10,02:00
2020-05-03,14:32,21:03,02:45
2020-05-04,15:35,21:55,03:28
2020-05-05,16:38,22:48,04:10
2020-05-06,17:42,23:42,04:52
2020-05-07,18:48,,05:36
2020-05-08,19:53,00:37,06:22
2020-05-09,20:59,01:34,07:12
2020-05-10,22:01,02:33,08:06
2020-05-11,22:59,03:32,09:02
2020-05-12,23:52,04:29,09:59
2020-05-13,,05:23,10:57
2020-05-14,00:38,06:14,11:52
2020-05-15,01:20,07:01,12:45
2020-05-16,01:57,07:45,13:37
2020-05-17,02:31,08:27,14:26
2020-05-18,03:04,09:08,15:15
2020-05-19,03:36,09:48,16:04
2020-05-20,04:09,10:29,16:54
2020-05-21,04:43,11:11,17:45
2020-05-22,05:19,11:56,18:37
2020-05-23,05:59,12:44,19:32
2020-05-24,06:43,13:34,20:28
2020-05-25,07:32,14:27,21:24
2020-05-26,08:25,15:22,22:18
2020-05-27,09:22,16:17,23:10
2020-05-28,10:22,17:12,23:58
2020-05-29,11:22,18:05,
2020-05-30,12:23,18:57,00:43
2020-05-31,13:24,19:48,01:26
2020-06-01,14:25,20:38,02:06
2020-06-02,15:26,21:30,02:47
2020-06-03,16:29,22:23,03:28
2020-06-04,17:33,23:18,04:12
2020-06-05,18:38,,04:59
2020-06-06,19:42,00:16,05:50
2020-06-07,20:44,01:15,06:46
2020-06-08,21:40,02:14,07:44
2020-06-09,22:30,03:10,08:42
2020-06-10,23:15,04:04,09:40
2020-06-11,23:55,04:54,10:36
2020-06-12,,05:40,11:29
2020-06-13,00:31,06:23,12:19
2020-06-14,01:04,07:05,13:09
2020-06-15,01:37,07:45,13:58
2020-06-16,02:09,08:26,14:47
2020-06-17,02:42,09:07,15:37
2020-06-18,03:17,09:51,16:29
2020-06-19,03:55,10:37,17:23
2020-06-20,04:38,11:27,18:19
2020-06-21,05:26,12:20,19:16
2020-06-22,06:18,13:15,20:12
2020-06-23,07:15,14:12,21:06
2020-06-24,08:15,15:08,21:57
2020-06-25,09:17,16:02,22:43
2020-06-26,10:18,16:54,23:26
2020-06-27,11:18,17:45,
2020-06-28,12:18,18:35,00:07
2020-06-29,13:18,19:24,00:46
2020-06-30,14:18,20:15,01:26
2020-07-01,15:20,21:08,02:07
2020-07-02,16:23,22:03,02:52
2020-07-03,17:26,23:00,03:40
2020-07-04,18:28,23:59,04:33
2020-07-05,19:27,,05:29
2020-07-06,20:20,00:57,06:27
2020-07-07,21:07,01:52,07:26
2020-07-08,21:50,02:44,08:23
2020-07-09,22:28,03:32,09:18
2020-07-10,23:03,04:17,10:10
2020-07-11,23:36,05:00,11:01
2020-07-12,,05:41,11:50
2020-07-13,00:08,06:21,12:39
2020-07-14,00:40,07:02,13:29
2020-07-15,01:14,07:45,14:20
2020-07-16,01:51,08:30,15:12
2020-07-17,02:31,09:18,16:08
2020-07-18,03:17,10:09,17:04
2020-07-19,04:07,11:04,18:01
2020-07-20,05:03,12:01,18:57
2020-07-21,06:04,12:58,19:50
2020-07-22,07:06,13:55,20:39
2020-07-23,08:09,14:49,21:24
2020-07-24,09:11,15:41,22:06
2020-07-25,10:12,16:32,22:47
2020-07-26,11:13,17:22,23:26
2020-07-27,12:13,18:12,
2020-07-28,13:14,19:04,00:07
2020-07-29,14:15,19:57,00:50
2020-07-30,15:17,20:52,01:36
2020-07-31,16:18,21:49,02:26
2020-08-01,17:17,22:46,03:19
2020-08-02,18:11,23:42,04:16
2020-08-03,19:00,,05:14
2020-08-04,19:45,00:35,06:12
2020-08-05,20:24,01:25,07:08
2020-08-06,21:00,02:11,08:01
2020-08-07,21:34,02:55,08:53
2020-08-08,22:07,03:36,09:43
2020-08-09,22:39,04:17,10:32
2020-08-10,23:12,04:58,11:21
2020-08-11,23:47,05:39,12:11
2020-08-12,,06:23,13:02
